text_features,amount,mcc,hour,category_id
Perlyna Zakhodu,-241.3,5814,17,2
Perlyna Zakhodu,-1043.0,5814,17,2
Perlyna Zakhodu,-456.33,5814,17,2
Perlyna Zakhodu,-1382.21,5814,17,2
Perlyna Zakhodu,-681.3,5814,17,2
Kafe COFFEE LAB,-1108.02,5814,11,2
Kafe COFFEE LAB,-295.28,5814,11,2
Kafe COFFEE LAB,-1259.6,5814,11,2
Kafe COFFEE LAB,-824.8,5814,11,2
Kafe COFFEE LAB,-1293.03,5814,11,2
Від: Oliinyk Olena,-94.72,6012,15,9
Від: Oliinyk Olena,-766.23,6012,15,9
Від: Oliinyk Olena,-1000.39,6012,15,9
Від: Oliinyk Olena,-1848.0,6012,15,9
Від: Oliinyk Olena,-61.23,6012,15,9
Приват карта,-940.67,4829,13,8
Приват карта,-1320.98,4829,13,8
Приват карта,-1177.13,4829,13,8
Приват карта,-931.36,4829,13,8
Приват карта,-253.63,4829,13,8
АРСЕН,-1231.8,5499,17,1
АРСЕН,-700.83,5499,17,1
АРСЕН,-874.01,5499,17,1
АРСЕН,-1412.43,5499,17,1
АРСЕН,-737.84,5499,17,1
TOR-BA,-861.22,5411,17,1
TOR-BA,-721.74,5411,17,1
TOR-BA,-979.21,5411,17,1
TOR-BA,-1538.26,5411,17,1
TOR-BA,-518.7,5411,17,1
SimeynaPekarnya,-1583.93,5462,18,2
SimeynaPekarnya,-1636.25,5462,18,2
SimeynaPekarnya,-1626.46,5462,18,2
SimeynaPekarnya,-144.5,5462,18,2
SimeynaPekarnya,-711.21,5462,18,2
Magazin produktiv,-1959.23,5499,16,1
Magazin produktiv,-284.31,5499,16,1
Magazin produktiv,-113.04,5499,16,1
Magazin produktiv,-1412.85,5499,16,1
Magazin produktiv,-1098.43,5499,16,1
EasyPay,-1660.05,4131,13,8
EasyPay,-1412.82,4131,13,8
EasyPay,-1935.52,4131,13,8
EasyPay,-74.15,4131,13,8
EasyPay,-945.69,4131,13,8
Від: Oliinyk Olena,-994.21,6012,12,9
Від: Oliinyk Olena,-1912.41,6012,12,9
Від: Oliinyk Olena,-1445.22,6012,12,9
Від: Oliinyk Olena,-368.63,6012,12,9
Від: Oliinyk Olena,-653.4,6012,12,9
SAMSUNG ELECTRONIC,-1749.32,5734,13,4
SAMSUNG ELECTRONIC,-268.31,5734,13,4
SAMSUNG ELECTRONIC,-402.63,5734,13,4
SAMSUNG ELECTRONIC,-1130.03,5734,13,4
SAMSUNG ELECTRONIC,-513.31,5734,13,4
Portmone,-1308.24,5999,13,0
Portmone,-370.18,5999,13,0
Portmone,-207.7,5999,13,0
Portmone,-1137.73,5999,13,0
Portmone,-519.19,5999,13,0
Термінал А-Банку,-772.84,4829,12,8
Термінал А-Банку,-1033.92,4829,12,8
Термінал А-Банку,-58.1,4829,12,8
Термінал А-Банку,-482.09,4829,12,8
Термінал А-Банку,-1585.44,4829,12,8
Термінал mono,-1328.51,4829,13,8
Термінал mono,-320.84,4829,13,8
Термінал mono,-1430.56,4829,13,8
Термінал mono,-1585.6,4829,13,8
Термінал mono,-776.2,4829,13,8
Сільпо,-1026.03,5411,15,1
Сільпо,-1812.34,5411,15,1
Сільпо,-730.47,5411,15,1
Сільпо,-603.96,5411,15,1
Сільпо,-51.84,5411,15,1
THRASH,-481.83,5411,14,1
THRASH,-600.95,5411,14,1
THRASH,-777.53,5411,14,1
THRASH,-688.09,5411,14,1
THRASH,-199.78,5411,14,1
Є Таке!,-960.98,5200,14,16
Є Таке!,-857.8,5200,14,16
Є Таке!,-295.43,5200,14,16
Є Таке!,-1888.21,5200,14,16
Є Таке!,-408.77,5200,14,16
АРСЕН,-1725.03,5499,14,1
АРСЕН,-1082.23,5499,14,1
АРСЕН,-464.3,5499,14,1
АРСЕН,-256.26,5499,14,1
АРСЕН,-164.92,5499,14,1
Рукавичка,-535.23,5411,13,1
Рукавичка,-252.1,5411,13,1
Рукавичка,-1845.35,5411,13,1
Рукавичка,-594.53,5411,13,1
Рукавичка,-1372.24,5411,13,1
Близенько,-1340.28,5499,12,1
Близенько,-1391.29,5499,12,1
Близенько,-333.97,5499,12,1
Близенько,-1056.61,5499,12,1
Близенько,-1641.07,5499,12,1
EVA,-771.35,5977,14,13
EVA,-1497.99,5977,14,13
EVA,-1336.29,5977,14,13
EVA,-1693.67,5977,14,13
EVA,-1842.69,5977,14,13
PROSTOR,-1594.53,5977,14,13
PROSTOR,-349.91,5977,14,13
PROSTOR,-1580.72,5977,14,13
PROSTOR,-879.98,5977,14,13
PROSTOR,-988.09,5977,14,13
Сільпо,-371.49,5411,16,1
Сільпо,-120.47,5411,16,1
Сільпо,-1122.4,5411,16,1
Сільпо,-1862.69,5411,16,1
Сільпо,-1266.49,5411,16,1
Ашан,-1991.15,5411,15,1
Ашан,-683.09,5411,15,1
Ашан,-631.52,5411,15,1
Ашан,-1473.3,5411,15,1
Ашан,-152.49,5411,15,1
Від: Oliinyk Olena,-389.99,6012,14,9
Від: Oliinyk Olena,-399.43,6012,14,9
Від: Oliinyk Olena,-1744.83,6012,14,9
Від: Oliinyk Olena,-1804.41,6012,14,9
Від: Oliinyk Olena,-960.35,6012,14,9
PRTMN  *WATER,-321.54,5999,15,0
PRTMN  *WATER,-578.46,5999,15,0
PRTMN  *WATER,-142.23,5999,15,0
PRTMN  *WATER,-1842.31,5999,15,0
PRTMN  *WATER,-811.69,5999,15,0
Термінал mono,-1115.37,4829,15,8
Термінал mono,-304.84,4829,15,8
Термінал mono,-520.36,4829,15,8
Термінал mono,-40.63,4829,15,8
Термінал mono,-370.54,4829,15,8
IQ Pizza,-1247.74,5812,17,2
IQ Pizza,-163.58,5812,17,2
IQ Pizza,-848.33,5812,17,2
IQ Pizza,-1386.02,5812,17,2
IQ Pizza,-946.05,5812,17,2
Термінал mono,-805.36,4829,17,8
Термінал mono,-1630.25,4829,17,8
Термінал mono,-753.55,4829,17,8
Термінал mono,-202.83,4829,17,8
Термінал mono,-1645.7,4829,17,8
Термінал mono,-266.44,4829,16,8
Термінал mono,-1413.55,4829,16,8
Термінал mono,-839.71,4829,16,8
Термінал mono,-571.64,4829,16,8
Термінал mono,-1890.36,4829,16,8
McDonald’s,-1035.83,5814,15,2
McDonald’s,-562.8,5814,15,2
McDonald’s,-1555.97,5814,15,2
McDonald’s,-670.64,5814,15,2
McDonald’s,-656.94,5814,15,2
АРСЕН,-339.87,5499,15,1
АРСЕН,-525.97,5499,15,1
АРСЕН,-519.54,5499,15,1
АРСЕН,-51.2,5499,15,1
АРСЕН,-23.37,5499,15,1
Apteka Belli,-351.87,5995,14,12
Apteka Belli,-345.14,5995,14,12
Apteka Belli,-870.12,5995,14,12
Apteka Belli,-149.2,5995,14,12
Apteka Belli,-1804.61,5995,14,12
APTEKA 16,-1354.65,5912,14,12
APTEKA 16,-719.05,5912,14,12
APTEKA 16,-1129.73,5912,14,12
APTEKA 16,-1486.49,5912,14,12
APTEKA 16,-403.35,5912,14,12
Копійка,-1778.35,5912,14,12
Копійка,-710.72,5912,14,12
Копійка,-651.89,5912,14,12
Копійка,-307.3,5912,14,12
Копійка,-76.58,5912,14,12
IQ Pizza,-1620.51,5812,14,2
IQ Pizza,-972.78,5812,14,2
IQ Pizza,-1614.42,5812,14,2
IQ Pizza,-673.13,5812,14,2
IQ Pizza,-1957.57,5812,14,2
АРСЕН,-1716.7,5499,13,1
АРСЕН,-1923.57,5499,13,1
АРСЕН,-1558.78,5499,13,1
АРСЕН,-1860.43,5499,13,1
АРСЕН,-681.84,5499,13,1
APTEKA 47,-1167.49,5912,18,12
APTEKA 47,-408.25,5912,18,12
APTEKA 47,-1854.39,5912,18,12
APTEKA 47,-608.03,5912,18,12
APTEKA 47,-447.44,5912,18,12
TOR-BA,-681.04,5411,13,1
TOR-BA,-742.37,5411,13,1
TOR-BA,-802.3,5411,13,1
TOR-BA,-590.95,5411,13,1
TOR-BA,-1799.66,5411,13,1
Скасування. SAMSUNG ELECTRONIC,-430.6,5734,2,4
Скасування. SAMSUNG ELECTRONIC,-816.13,5734,2,4
Скасування. SAMSUNG ELECTRONIC,-230.21,5734,2,4
Скасування. SAMSUNG ELECTRONIC,-1553.88,5734,2,4
Скасування. SAMSUNG ELECTRONIC,-1971.65,5734,2,4
EVA,-305.64,5977,17,13
EVA,-1578.05,5977,17,13
EVA,-1512.18,5977,17,13
EVA,-1524.63,5977,17,13
EVA,-695.91,5977,17,13
АРСЕН,-1080.27,5499,16,1
АРСЕН,-64.29,5499,16,1
АРСЕН,-1133.74,5499,16,1
АРСЕН,-1401.82,5499,16,1
АРСЕН,-641.71,5499,16,1
Portmone,-435.93,5999,16,0
Portmone,-1900.81,5999,16,0
Portmone,-816.47,5999,16,0
Portmone,-112.85,5999,16,0
Portmone,-234.03,5999,16,0
Від: Matvieieva Anastasiia,-837.82,6012,15,9
Від: Matvieieva Anastasiia,-802.62,6012,15,9
Від: Matvieieva Anastasiia,-724.88,6012,15,9
Від: Matvieieva Anastasiia,-491.48,6012,15,9
Від: Matvieieva Anastasiia,-25.12,6012,15,9
Аврора,-1431.42,5310,19,0
Аврора,-1807.65,5310,19,0
Аврора,-458.98,5310,19,0
Аврора,-1118.12,5310,19,0
Аврора,-1517.97,5310,19,0
THRASH,-439.42,5411,19,1
THRASH,-1701.45,5411,19,1
THRASH,-938.7,5411,19,1
THRASH,-911.26,5411,19,1
THRASH,-1799.44,5411,19,1
ГУДПС у Львівській області/71040000,-1294.83,4829,15,8
ГУДПС у Львівській області/71040000,-1407.25,4829,15,8
ГУДПС у Львівській області/71040000,-1362.12,4829,15,8
ГУДПС у Львівській області/71040000,-1198.09,4829,15,8
ГУДПС у Львівській області/71040000,-780.71,4829,15,8
Від: Оксана Котик | Переказ дочці,-1548.82,4829,15,8
Від: Оксана Котик | Переказ дочці,-1541.78,4829,15,8
Від: Оксана Котик | Переказ дочці,-283.63,4829,15,8
Від: Оксана Котик | Переказ дочці,-1402.61,4829,15,8
Від: Оксана Котик | Переказ дочці,-992.71,4829,15,8
АТБ,-1506.56,5499,11,1
АТБ,-664.09,5499,11,1
АТБ,-1425.05,5499,11,1
АТБ,-841.36,5499,11,1
АТБ,-610.25,5499,11,1
Portmone,-1581.32,7399,16,8
Portmone,-365.47,7399,16,8
Portmone,-1097.13,7399,16,8
Portmone,-1238.68,7399,16,8
Portmone,-1703.1,7399,16,8
Скасування. Portmone,-1919.02,5999,16,0
Скасування. Portmone,-588.28,5999,16,0
Скасування. Portmone,-1255.3,5999,16,0
Скасування. Portmone,-994.22,5999,16,0
Скасування. Portmone,-1037.11,5999,16,0
Rozetka,-1732.92,5399,16,16
Rozetka,-1326.74,5399,16,16
Rozetka,-904.6,5399,16,16
Rozetka,-53.26,5399,16,16
Rozetka,-1338.24,5399,16,16
Kokhman O. A.,-324.31,5661,14,7
Kokhman O. A.,-1272.27,5661,14,7
Kokhman O. A.,-507.28,5661,14,7
Kokhman O. A.,-1971.09,5661,14,7
Kokhman O. A.,-671.05,5661,14,7
Від: Оксана Котик | Переказ дочці,-1671.95,4829,13,8
Від: Оксана Котик | Переказ дочці,-438.8,4829,13,8
Від: Оксана Котик | Переказ дочці,-1126.75,4829,13,8
Від: Оксана Котик | Переказ дочці,-262.99,4829,13,8
Від: Оксана Котик | Переказ дочці,-590.35,4829,13,8
EasyPay,-1101.3,4131,9,8
EasyPay,-1211.2,4131,9,8
EasyPay,-562.17,4131,9,8
EasyPay,-1029.56,4131,9,8
EasyPay,-1856.86,4131,9,8
Термінал mono,-1578.47,4829,9,8
Термінал mono,-1310.34,4829,9,8
Термінал mono,-147.72,4829,9,8
Термінал mono,-1701.52,4829,9,8
Термінал mono,-687.22,4829,9,8
Виведення кешбеку 239.57₴,-1241.29,4829,15,8
Виведення кешбеку 239.57₴,-1916.36,4829,15,8
Виведення кешбеку 239.57₴,-739.84,4829,15,8
Виведення кешбеку 239.57₴,-389.21,4829,15,8
Виведення кешбеку 239.57₴,-608.83,4829,15,8
Дія,-1309.41,9399,12,14
Дія,-307.24,9399,12,14
Дія,-842.57,9399,12,14
Дія,-966.31,9399,12,14
Дія,-1060.99,9399,12,14
Київстар,-1943.65,4814,19,11
Київстар,-144.06,4814,19,11
Київстар,-203.24,4814,19,11
Київстар,-929.25,4814,19,11
Київстар,-549.85,4814,19,11
Виплата кешбеку від держави,-1148.69,4829,5,8
Виплата кешбеку від держави,-1085.87,4829,5,8
Виплата кешбеку від держави,-357.37,4829,5,8
Виплата кешбеку від держави,-1707.95,4829,5,8
Виплата кешбеку від держави,-287.58,4829,5,8
Виплата кешбеку від держави,-1825.0,4829,1,8
Виплата кешбеку від держави,-1492.91,4829,1,8
Виплата кешбеку від держави,-1811.82,4829,1,8
Виплата кешбеку від держави,-461.26,4829,1,8
Виплата кешбеку від держави,-646.45,4829,1,8
Виплата кешбеку від держави,-591.47,4829,4,8
Виплата кешбеку від держави,-931.59,4829,4,8
Виплата кешбеку від держави,-763.88,4829,4,8
Виплата кешбеку від держави,-1081.29,4829,4,8
Виплата кешбеку від держави,-1128.28,4829,4,8
Виплата кешбеку від держави,-215.88,4829,3,8
Виплата кешбеку від держави,-1543.55,4829,3,8
Виплата кешбеку від держави,-1624.7,4829,3,8
Виплата кешбеку від держави,-1357.91,4829,3,8
Виплата кешбеку від держави,-524.57,4829,3,8
Виплата кешбеку від держави,-1237.75,4829,6,8
Виплата кешбеку від держави,-687.62,4829,6,8
Виплата кешбеку від держави,-1294.93,4829,6,8
Виплата кешбеку від держави,-1207.36,4829,6,8
Виплата кешбеку від держави,-1031.38,4829,6,8
McDonald’s,-1442.82,5814,14,2
McDonald’s,-546.93,5814,14,2
McDonald’s,-1985.58,5814,14,2
McDonald’s,-687.97,5814,14,2
McDonald’s,-1395.16,5814,14,2
Виплата кешбеку від держави,-1579.87,4829,7,8
Виплата кешбеку від держави,-1013.02,4829,7,8
Виплата кешбеку від держави,-665.3,4829,7,8
Виплата кешбеку від держави,-1585.55,4829,7,8
Виплата кешбеку від держави,-1098.25,4829,7,8
Оплата послуг ДІЯ,-464.72,9399,10,14
Оплата послуг ДІЯ,-902.55,9399,10,14
Оплата послуг ДІЯ,-1305.26,9399,10,14
Оплата послуг ДІЯ,-1507.8,9399,10,14
Оплата послуг ДІЯ,-1727.09,9399,10,14
Сплата Єдиного Податку ФОП,-475.49,9399,12,14
Сплата Єдиного Податку ФОП,-215.84,9399,12,14
Сплата Єдиного Податку ФОП,-257.73,9399,12,14
Сплата Єдиного Податку ФОП,-383.82,9399,12,14
Сплата Єдиного Податку ФОП,-1433.87,9399,12,14
Військовий збір,-590.17,9399,11,14
Військовий збір,-1586.25,9399,11,14
Військовий збір,-1936.59,9399,11,14
Військовий збір,-707.28,9399,11,14
Військовий збір,-1715.34,9399,11,14
Податок на нерухомість,-785.16,71040000,15,14
Податок на нерухомість,-206.96,71040000,15,14
Податок на нерухомість,-1155.58,71040000,15,14
Податок на нерухомість,-600.68,71040000,15,14
Податок на нерухомість,-156.87,71040000,15,14
BOLT,-256.09,4111,18,10
BOLT,-714.62,4111,18,10
BOLT,-702.74,4111,18,10
BOLT,-1204.44,4111,18,10
BOLT,-1629.33,4111,18,10
UBER TRIP,-1708.93,4111,9,10
UBER TRIP,-1189.71,4111,9,10
UBER TRIP,-471.58,4111,9,10
UBER TRIP,-928.08,4111,9,10
UBER TRIP,-885.92,4111,9,10
Оплата паркування,-1922.33,4111,13,10
Оплата паркування,-1532.22,4111,13,10
Оплата паркування,-1151.66,4111,13,10
Оплата паркування,-1243.83,4111,13,10
Оплата паркування,-300.43,4111,13,10
Rozetka.ua,-930.19,5722,20,3
Rozetka.ua,-1694.32,5722,20,3
Rozetka.ua,-120.21,5722,20,3
Rozetka.ua,-945.2,5722,20,3
Rozetka.ua,-200.62,5722,20,3
Aliexpress,-1516.57,5722,22,3
Aliexpress,-184.1,5722,22,3
Aliexpress,-1891.64,5722,22,3
Aliexpress,-856.26,5722,22,3
Aliexpress,-1930.95,5722,22,3
Оплата на Prom.ua,-1315.74,5722,14,3
Оплата на Prom.ua,-1784.66,5722,14,3
Оплата на Prom.ua,-154.15,5722,14,3
Оплата на Prom.ua,-394.98,5722,14,3
Оплата на Prom.ua,-1557.94,5722,14,3
MOYO,-678.65,5734,16,4
MOYO,-1806.23,5734,16,4
MOYO,-1229.63,5734,16,4
MOYO,-1044.25,5734,16,4
MOYO,-1578.68,5734,16,4
Comfy,-65.09,5734,17,4
Comfy,-660.73,5734,17,4
Comfy,-389.9,5734,17,4
Comfy,-470.67,5734,17,4
Comfy,-1293.17,5734,17,4
Фокстрот,-801.53,5734,18,4
Фокстрот,-848.94,5734,18,4
Фокстрот,-955.85,5734,18,4
Фокстрот,-779.07,5734,18,4
Фокстрот,-1080.08,5734,18,4
Цукерня,-1500.36,5441,19,15
Цукерня,-1505.39,5441,19,15
Цукерня,-916.63,5441,19,15
Цукерня,-1086.37,5441,19,15
Цукерня,-1551.24,5441,19,15
Львівська майстерня шоколаду,-1213.62,5441,17,15
Львівська майстерня шоколаду,-116.87,5441,17,15
Львівська майстерня шоколаду,-1794.92,5441,17,15
Львівська майстерня шоколаду,-1372.3,5441,17,15
Львівська майстерня шоколаду,-1128.61,5441,17,15
Аптека Подорожник,-399.25,5912,13,12
Аптека Подорожник,-968.47,5912,13,12
Аптека Подорожник,-545.58,5912,13,12
Аптека Подорожник,-51.23,5912,13,12
Аптека Подорожник,-1545.52,5912,13,12
Watsons,-608.12,5977,16,13
Watsons,-237.15,5977,16,13
Watsons,-655.92,5977,16,13
Watsons,-1109.37,5977,16,13
Watsons,-641.13,5977,16,13
iHerb,-1646.52,5995,21,12
iHerb,-423.58,5995,21,12
iHerb,-173.05,5995,21,12
iHerb,-660.54,5995,21,12
iHerb,-465.63,5995,21,12
Червоний маркет,-995.17,5399,14,16
Червоний маркет,-669.82,5399,14,16
Червоний маркет,-105.21,5399,14,16
Червоний маркет,-953.19,5399,14,16
Червоний маркет,-535.89,5399,14,16
Все від 1 гривні,-863.69,5399,15,16
Все від 1 гривні,-1219.87,5399,15,16
Все від 1 гривні,-547.26,5399,15,16
Все від 1 гривні,-207.74,5399,15,16
Все від 1 гривні,-70.88,5399,15,16
Popovnennya rahunku Kyivstar,-1687.38,4814,9,11
Popovnennya rahunku Kyivstar,-1406.72,4814,9,11
Popovnennya rahunku Kyivstar,-175.22,4814,9,11
Popovnennya rahunku Kyivstar,-1964.78,4814,9,11
Popovnennya rahunku Kyivstar,-1752.07,4814,9,11
Oplata poslug zv'yazku (Vodafone),-1422.21,4814,13,11
Oplata poslug zv'yazku (Vodafone),-1478.37,4814,13,11
Oplata poslug zv'yazku (Vodafone),-1066.05,4814,13,11
Oplata poslug zv'yazku (Vodafone),-1726.11,4814,13,11
Oplata poslug zv'yazku (Vodafone),-1240.13,4814,13,11
Pryvat24. Popovnennya Lifecell,-1523.85,4814,20,11
Pryvat24. Popovnennya Lifecell,-766.8,4814,20,11
Pryvat24. Popovnennya Lifecell,-1953.58,4814,20,11
Pryvat24. Popovnennya Lifecell,-1980.57,4814,20,11
Pryvat24. Popovnennya Lifecell,-1798.69,4814,20,11
Perekaz na rahunok Vodafone,-948.63,4814,15,11
Perekaz na rahunok Vodafone,-710.77,4814,15,11
Perekaz na rahunok Vodafone,-1059.64,4814,15,11
Perekaz na rahunok Vodafone,-1703.13,4814,15,11
Perekaz na rahunok Vodafone,-1733.17,4814,15,11
Oplata proyizdu (metro),-1042.98,4111,8,10
Oplata proyizdu (metro),-860.01,4111,8,10
Oplata proyizdu (metro),-121.06,4111,8,10
Oplata proyizdu (metro),-1155.33,4111,8,10
Oplata proyizdu (metro),-685.29,4111,8,10
Parkuvannya Lvivavtodor,-418.3,4111,12,10
Parkuvannya Lvivavtodor,-1423.33,4111,12,10
Parkuvannya Lvivavtodor,-1901.39,4111,12,10
Parkuvannya Lvivavtodor,-274.62,4111,12,10
Parkuvannya Lvivavtodor,-1125.45,4111,12,10
Popovnennya Leokart,-1790.3,4111,17,10
Popovnennya Leokart,-288.71,4111,17,10
Popovnennya Leokart,-1486.47,4111,17,10
Popovnennya Leokart,-1300.53,4111,17,10
Popovnennya Leokart,-1607.89,4111,17,10
Avtostoyanka (oplata),-930.49,4111,10,10
Avtostoyanka (oplata),-1521.85,4111,10,10
Avtostoyanka (oplata),-1845.79,4111,10,10
Avtostoyanka (oplata),-480.71,4111,10,10
Avtostoyanka (oplata),-285.69,4111,10,10
Lviv Croissants,-1167.72,5441,14,15
Lviv Croissants,-1329.58,5441,14,15
Lviv Croissants,-805.48,5441,14,15
Lviv Croissants,-132.89,5441,14,15
Lviv Croissants,-1178.27,5441,14,15
Pekarnya Lvivski Kruasany,-1195.41,5441,11,15
Pekarnya Lvivski Kruasany,-1526.83,5441,11,15
Pekarnya Lvivski Kruasany,-1063.75,5441,11,15
Pekarnya Lvivski Kruasany,-357.83,5441,11,15
Pekarnya Lvivski Kruasany,-91.42,5441,11,15
Cukor,-1669.09,5441,18,15
Cukor,-1447.24,5441,18,15
Cukor,-939.78,5441,18,15
Cukor,-1402.09,5441,18,15
Cukor,-1039.55,5441,18,15
Kondyterska Veronika,-1932.2,5441,16,15
Kondyterska Veronika,-1374.82,5441,16,15
Kondyterska Veronika,-427.09,5441,16,15
Kondyterska Veronika,-259.73,5441,16,15
Kondyterska Veronika,-273.14,5441,16,15
LC WAIKIKI,-577.82,5651,15,7
LC WAIKIKI,-954.18,5651,15,7
LC WAIKIKI,-82.23,5651,15,7
LC WAIKIKI,-854.92,5651,15,7
LC WAIKIKI,-450.74,5651,15,7
INTERTOP,-118.1,5661,19,7
INTERTOP,-1849.1,5661,19,7
INTERTOP,-1810.77,5661,19,7
INTERTOP,-283.68,5661,19,7
INTERTOP,-950.11,5661,19,7
Reserved,-705.08,5651,16,7
Reserved,-376.52,5651,16,7
Reserved,-605.65,5651,16,7
Reserved,-1526.08,5651,16,7
Reserved,-1377.73,5651,16,7
SIN SAY,-161.73,5651,14,7
SIN SAY,-1023.07,5651,14,7
SIN SAY,-1157.49,5651,14,7
SIN SAY,-1187.82,5651,14,7
SIN SAY,-1799.77,5651,14,7
Cropp,-281.12,5651,18,7
Cropp,-147.29,5651,18,7
Cropp,-101.42,5651,18,7
Cropp,-879.22,5651,18,7
Cropp,-902.97,5651,18,7
Answear.ua,-116.05,5651,21,7
Answear.ua,-153.79,5651,21,7
Answear.ua,-1687.85,5651,21,7
Answear.ua,-666.28,5651,21,7
Answear.ua,-1882.05,5651,21,7
Kasta.ua,-582.13,5651,12,7
Kasta.ua,-1411.06,5651,12,7
Kasta.ua,-920.8,5651,12,7
Kasta.ua,-370.18,5651,12,7
Kasta.ua,-1464.34,5651,12,7
АТБ,-1040.51,5499,17,1
АТБ,-1747.15,5499,17,1
АТБ,-1674.13,5499,17,1
АТБ,-649.38,5499,17,1
АТБ,-414.4,5499,17,1
Рукавичка,-657.86,5411,14,1
Рукавичка,-1216.78,5411,14,1
Рукавичка,-205.49,5411,14,1
Рукавичка,-479.49,5411,14,1
Рукавичка,-854.7,5411,14,1
АТБ,-1861.74,5499,19,1
АТБ,-70.82,5499,19,1
АТБ,-648.56,5499,19,1
АТБ,-1901.74,5499,19,1
АТБ,-1361.63,5499,19,1
Скасування. АТБ,-216.83,5411,19,1
Скасування. АТБ,-1330.39,5411,19,1
Скасування. АТБ,-1271.62,5411,19,1
Скасування. АТБ,-941.98,5411,19,1
Скасування. АТБ,-1691.68,5411,19,1
АТБ,-1603.43,5411,19,1
АТБ,-1325.87,5411,19,1
АТБ,-563.13,5411,19,1
АТБ,-519.49,5411,19,1
АТБ,-1886.46,5411,19,1
THRASH,-1607.8,5411,18,1
THRASH,-242.44,5411,18,1
THRASH,-1783.87,5411,18,1
THRASH,-658.38,5411,18,1
THRASH,-1338.3,5411,18,1
545708****0522,-1976.23,4829,17,8
545708****0522,-1502.81,4829,17,8
545708****0522,-47.01,4829,17,8
545708****0522,-911.53,4829,17,8
545708****0522,-842.06,4829,17,8
Близенько,-1702.53,5499,14,1
Близенько,-1599.53,5499,14,1
Близенько,-1191.81,5499,14,1
Близенько,-374.51,5499,14,1
Близенько,-276.85,5499,14,1
АТБ,-1530.96,5499,13,1
АТБ,-959.03,5499,13,1
АТБ,-1577.71,5499,13,1
АТБ,-323.17,5499,13,1
АТБ,-283.65,5499,13,1
Близенько,-1357.65,5499,18,1
Близенько,-1540.56,5499,18,1
Близенько,-1327.01,5499,18,1
Близенько,-514.6,5499,18,1
Близенько,-1469.9,5499,18,1
АВРОРА,-475.48,5331,17,6
АВРОРА,-429.38,5331,17,6
АВРОРА,-1181.54,5331,17,6
АВРОРА,-1316.31,5331,17,6
АВРОРА,-1475.09,5331,17,6
Термінал EasyPay,-465.77,4829,17,8
Термінал EasyPay,-1514.32,4829,17,8
Термінал EasyPay,-109.72,4829,17,8
Термінал EasyPay,-1672.37,4829,17,8
Термінал EasyPay,-1248.07,4829,17,8
GOLDI,-29.96,5651,16,7
GOLDI,-1739.13,5651,16,7
GOLDI,-488.21,5651,16,7
GOLDI,-1447.43,5651,16,7
GOLDI,-793.59,5651,16,7
Арсен,-1849.05,5499,17,1
Арсен,-1763.4,5499,17,1
Арсен,-1342.11,5499,17,1
Арсен,-255.52,5499,17,1
Арсен,-741.5,5499,17,1
Сільпо,-35.98,5411,14,1
Сільпо,-1826.2,5411,14,1
Сільпо,-912.43,5411,14,1
Сільпо,-1438.74,5411,14,1
Сільпо,-450.84,5411,14,1
P24 *Oliinyk Olena,-37.71,6012,6,9
P24 *Oliinyk Olena,-1489.4,6012,6,9
P24 *Oliinyk Olena,-1921.51,6012,6,9
P24 *Oliinyk Olena,-1114.2,6012,6,9
P24 *Oliinyk Olena,-134.31,6012,6,9
АТБ,-1533.71,5411,18,1
АТБ,-412.39,5411,18,1
АТБ,-570.85,5411,18,1
АТБ,-1246.58,5411,18,1
АТБ,-669.53,5411,18,1
UNI,-1094.78,5631,18,7
UNI,-595.08,5631,18,7
UNI,-1332.18,5631,18,7
UNI,-1784.03,5631,18,7
UNI,-548.88,5631,18,7
Magazyn Monako,-156.01,5943,17,5
Magazyn Monako,-1129.9,5943,17,5
Magazyn Monako,-752.48,5943,17,5
Magazyn Monako,-1786.01,5943,17,5
Magazyn Monako,-1493.13,5943,17,5
АТБ,-549.76,5499,18,1
АТБ,-81.75,5499,18,1
АТБ,-508.88,5499,18,1
АТБ,-319.31,5499,18,1
АТБ,-773.04,5499,18,1
Roshen,-1311.89,5441,18,15
Roshen,-1901.98,5441,18,15
Roshen,-94.47,5441,18,15
Roshen,-1287.33,5441,18,15
Roshen,-140.75,5441,18,15
Rozetka,-1998.47,5722,14,3
Rozetka,-58.42,5722,14,3
Rozetka,-637.21,5722,14,3
Rozetka,-1639.55,5722,14,3
Rozetka,-1017.95,5722,14,3
P24 *Oliinyk Olena,-1741.23,6012,14,9
P24 *Oliinyk Olena,-367.29,6012,14,9
P24 *Oliinyk Olena,-89.94,6012,14,9
P24 *Oliinyk Olena,-393.38,6012,14,9
P24 *Oliinyk Olena,-1731.34,6012,14,9
Vse vid 2 grn,-1318.33,5399,14,16
Vse vid 2 grn,-198.36,5399,14,16
Vse vid 2 grn,-1493.15,5399,14,16
Vse vid 2 grn,-445.15,5399,14,16
Vse vid 2 grn,-931.93,5399,14,16
Rozetka,-1089.58,5722,13,3
Rozetka,-1115.71,5722,13,3
Rozetka,-766.25,5722,13,3
Rozetka,-846.66,5722,13,3
Rozetka,-1201.89,5722,13,3
Близенько,-518.75,5499,16,1
Близенько,-952.94,5499,16,1
Близенько,-1909.98,5499,16,1
Близенько,-173.44,5499,16,1
Близенько,-1936.37,5499,16,1
АТБ,-1040.45,5499,16,1
АТБ,-252.71,5499,16,1
